x, y
3.513982795573169618e-23,0.000000000000000000e+00
6.356674171537173013e-02,-1.341743750684123429e-03
1.268437128836405192e-01,-5.366975002736493715e-03
1.898309135048063534e-01,-1.207569375615711108e-02
2.525283435788692188e-01,-2.146790001094597486e-02
3.149354627317767497e-01,-3.354308172154405604e-02
3.768155817715368450e-01,-4.807695785687303436e-02
4.379736208183817037e-01,-6.488467537734690649e-02
4.984095798723113258e-01,-8.396623428296565161e-02
5.581234589333257112e-01,-1.053216345737292836e-01
6.171140375659874833e-01,-1.289487670411862130e-01
6.752373012199018865e-01,-1.545987396116483836e-01
7.323943920319986312e-01,-1.821007019198407351e-01
7.885853100022781614e-01,-2.114546539657634061e-01
8.438100551307399222e-01,-2.426605957494162025e-01
8.980674122191849573e-01,-2.757141681161636715e-01
9.512895987464645708e-01,-3.103722218484779583e-01
1.003437592264586620e+00,-3.464947757604370793e-01
1.054511392773550993e+00,-3.840818298520407570e-01
1.104511000273358023e+00,-4.231333841232893800e-01
1.153436163299493167e+00,-4.636428164275604447e-01
1.201278583344918882e+00,-5.053915912370789965e-01
1.248034236858694968e+00,-5.482737510797203173e-01
1.293703123840821423e+00,-5.922892959554845183e-01
1.338285244291298692e+00,-6.374382258643717103e-01
1.381782066486959781e+00,-6.837120965326475286e-01
1.424225893211288341e+00,-7.309251299518186862e-01
1.465629939371673185e+00,-7.790013252664644838e-01
1.505994204968113648e+00,-8.279406824765848105e-01
1.545318690000609951e+00,-8.777432015821796663e-01
1.583607021714190655e+00,-9.283992756603660634e-01
1.620916431211552045e+00,-9.797573255413504212e-01
1.657266667492649725e+00,-1.031765045103518963e+00
1.692657730557484363e+00,-1.084422434346871800e+00
1.727089620406055293e+00,-1.137729493271408598e+00
1.760568242705063957e+00,-1.191676119897292274e+00
1.793163743848273262e+00,-1.246142324815832314e+00
1.824896493099269046e+00,-1.301093265239505747e+00
1.855766490458051532e+00,-1.356528941168312352e+00
1.885773735924621164e+00,-1.412449352602252794e+00
1.914926303048544165e+00,-1.468844468039575357e+00
1.943298873830769491e+00,-1.525621494017244562e+00
1.970909614472450055e+00,-1.582757858768383263e+00
1.997758524973585637e+00,-1.640253562292991019e+00
2.023845605334177122e+00,-1.698108604591069382e+00
2.049180849580747754e+00,-1.756313441489198546e+00
2.073838042462445852e+00,-1.814797609451995974e+00
2.097832113968248979e+00,-1.873546850522112894e+00
2.121163064098156248e+00,-1.932561164699548639e+00
2.143830892852167214e+00,-1.991840551984303653e+00
2.165847210997160044e+00,-2.051376224575309326e+00
2.187281684778749735e+00,-2.111115454421605087e+00
2.208145925511934671e+00,-2.171049453307266397e+00
2.228439933196714851e+00,-2.231178221232295478e+00
2.248163707833090275e+00,-2.291501758196690997e+00
2.267330174127505593e+00,-2.352012175488328527e+00
2.286003209465073738e+00,-2.412670484964264617e+00
2.304191466375840047e+00,-2.473471405474092055e+00
2.321894944859804966e+00,-2.534414937017811731e+00
2.339113644916968493e+00,-2.595501079595424532e+00
2.355861540791411191e+00,-2.656722888777825808e+00
2.372196083619225071e+00,-2.718051814516861064e+00
2.388123484542055586e+00,-2.779484770217464096e+00
2.403643743559903179e+00,-2.841021755879636679e+00
2.418756860672767850e+00,-2.902662771503377925e+00
2.433477656303304482e+00,-2.964401791894208493e+00
2.447857170196285459e+00,-3.026218067010417290e+00
2.461899699687126741e+00,-3.088109849784310690e+00
2.475605244775827440e+00,-3.150077140215887361e+00
2.488973805462388889e+00,-3.212119938305147748e+00
2.502020919322459847e+00,-3.274233064989999775e+00
2.514791614888474580e+00,-3.336401511135769660e+00
2.527288746225399674e+00,-3.398624325411308433e+00
2.539512313333235127e+00,-3.460901507816616540e+00
2.551462316211980941e+00,-3.523233058351693980e+00
2.563154963135284348e+00,-3.585614538707968535e+00
2.574629875517855382e+00,-3.648035099360785516e+00
2.585888854449026386e+00,-3.710494247118186983e+00
2.596931899928796472e+00,-3.772991981980172493e+00
2.607759011957165640e+00,-3.835528303946742046e+00
2.618387111963299319e+00,-3.898099387116276127e+00
2.628851101518191236e+00,-3.960697340312699488e+00
2.639152038335982109e+00,-4.023321924388938875e+00
2.649289922416672383e+00,-4.085973139344994287e+00
2.659264753760262057e+00,-4.148650985180865725e+00
2.669094304932729589e+00,-4.211352100166934065e+00
2.678809448385806924e+00,-4.274070644694239363e+00
2.688410737677503715e+00,-4.336806514055767003e+00
2.697898172807820849e+00,-4.399559708251517876e+00
2.707271753776757883e+00,-4.462330227281490203e+00
2.716550346115147008e+00,-4.525115002388043095e+00
2.725761433986504390e+00,-4.587909562865441160e+00
2.734905250353597328e+00,-4.650713870818846019e+00
2.743981795216424935e+00,-4.713527926248260336e+00
2.752991068574987210e+00,-4.776351729153680559e+00
2.761953385555197649e+00,-4.839182299933259657e+00
2.770893395462239006e+00,-4.902016023294851976e+00
2.779811154597267908e+00,-4.964852890980813171e+00
2.788706662960283023e+00,-5.027692902991143242e+00
2.797579920551286570e+00,-5.090536059325843965e+00
