lambda, x, y
0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
1.010101010101010187e-02,4.867105488171385996e-02,2.803150214550580999e-01
2.020202020202020374e-02,1.802625073566643810e-01,5.151855003068525063e-01
3.030303030303030387e-02,3.596463743408241376e-01,6.774900143735205216e-01
4.040404040404040747e-02,5.484695328522557478e-01,7.643431123504973446e-01
5.050505050505051108e-02,7.183871200022775572e-01,7.899488824137017584e-01
6.060606060606060774e-02,8.553033263162539424e-01,7.747383938893194211e-01
7.070707070707071829e-02,9.563519441101092644e-01,7.372857335859344108e-01
8.080808080808081495e-02,1.024965937298890184e+00,6.910777292815685202e-01
9.090909090909091161e-02,1.066969188578291705e+00,6.444605296071361789e-01
1.010101010101010222e-01,1.088325030789032644e+00,6.018146399871955321e-01
1.111111111111111188e-01,1.094116107798019488e+00,5.649431929913498740e-01
1.212121212121212155e-01,1.088309766829668401e+00,5.341166140636054438e-01
1.313131313131313260e-01,1.073844755602941126e+00,5.087842928935020215e-01
1.414141414141414366e-01,1.052835118142406712e+00,4.880035820750485698e-01
1.515151515151515194e-01,1.026783899943163769e+00,4.706803615958011777e-01
1.616161616161616299e-01,9.967674983935076449e-01,4.556949309207232179e-01
1.717171717171717404e-01,9.635821663650926405e-01,4.419632562335376047e-01
1.818181818181818232e-01,9.278554124929181413e-01,4.284647647239503976e-01
1.919191919191919338e-01,8.901293946669313062e-01,4.142551306175488168e-01
2.020202020202020443e-01,8.509220790759568498e-01,3.984744010252137536e-01
2.121212121212121271e-01,8.107704141113092344e-01,3.803559412934236494e-01
2.222222222222222376e-01,7.702587343901025063e-01,3.592386410082573645e-01
2.323232323232323482e-01,7.300339580295998054e-01,3.345828638669876010e-01
2.424242424242424310e-01,6.908083980875625585e-01,3.059891967847117589e-01
2.525252525252525415e-01,6.533507102492883689e-01,2.732180170516252393e-01
2.626262626262626521e-01,6.184656766240665959e-01,2.362071553965904291e-01
2.727272727272727626e-01,5.869641255542688008e-01,1.950845291882249699e-01
2.828282828282828731e-01,5.596251821672910687e-01,1.501726418529497620e-01
2.929292929292929282e-01,5.371540412313361434e-01,1.019823681728479481e-01
3.030303030303030387e-01,5.201516008339461816e-01,5.119612662723795754e-02
3.131313131313131493e-01,5.090258637870892500e-01,-1.369242271696535177e-03
3.232323232323232598e-01,5.040378925696331613e-01,-5.479540887085564138e-02
3.333333333333333703e-01,5.052326755242924072e-01,-1.081166970934730187e-01
3.434343434343434809e-01,5.124480472798005337e-01,-1.603716480032373048e-01
3.535353535353535914e-01,5.253255527390643387e-01,-2.106540786320265091e-01
3.636363636363636465e-01,5.433346331292447928e-01,-2.581580090131899707e-01
3.737373737373737570e-01,5.658029887160098692e-01,-3.022126617423309680e-01
3.838383838383838675e-01,5.919755999818008263e-01,-3.423056998652162508e-01
3.939393939393939781e-01,6.210295513864042549e-01,-3.780930211477126490e-01
4.040404040404040886e-01,6.521357826124473123e-01,-4.093967293999978829e-01
4.141414141414141992e-01,6.844905732760959705e-01,-4.361931090081909712e-01
4.242424242424242542e-01,7.173453095467979823e-01,-4.585929561267068078e-01
4.343434343434343647e-01,7.500282345580753240e-01,-4.768172327940957689e-01
4.444444444444444753e-01,7.819581176279746249e-01,-4.911707525162355426e-01
4.545454545454545858e-01,8.126505356154506421e-01,-5.020161763814993128e-01
4.646464646464646964e-01,8.417179391417461964e-01,-5.097500313331402300e-01
4.747474747474748069e-01,8.688649050164960475e-01,-5.147818689134822101e-01
4.848484848484848619e-01,8.938800017212179538e-01,-5.175171433911792684e-01
4.949494949494949725e-01,9.166255773852364230e-01,-5.183439482012012212e-01
5.050505050505050830e-01,9.370265780641009457e-01,-5.176234258474453620e-01
5.151515151515152491e-01,9.550592671990650873e-01,-5.156834551605592454e-01
5.252525252525253041e-01,9.707404804463376502e-01,-5.128151053172929075e-01
5.353535353535353591e-01,9.841178361383813300e-01,-5.092713073639373311e-01
5.454545454545455252e-01,9.952611427174393732e-01,-5.052672095984560574e-01
5.555555555555555802e-01,1.004255105046117258e+00,-5.009817335853818943e-01
5.656565656565657463e-01,1.011193329715197819e+00,-4.965599170460011091e-01
5.757575757575758013e-01,1.016173559896156764e+00,-4.921157067809515118e-01
5.858585858585858563e-01,1.019294027034681971e+00,-4.877349409737323227e-01
5.959595959595960224e-01,1.020650784230729302e+00,-4.834783302256864257e-01
6.060606060606060774e-01,1.020335879125134015e+00,-4.793843073376993225e-01
6.161616161616162435e-01,1.018436227662707250e+00,-4.754716658637870297e-01
