x, y
-1.407763422614210096e-22,0.000000000000000000e+00
1.023147679008878062e-02,-5.755177050375146972e-04
2.010576865206342712e-02,-2.302070820150058789e-03
2.962287558592392733e-02,-5.179659345337632274e-03
3.878279759167028995e-02,-9.208283280600235154e-03
4.758507464789346608e-02,-1.438731011160780497e-02
5.582821281695223709e-02,-2.043969229128846099e-02
6.334614024403099897e-02,-2.713708647317256140e-02
7.013885692912973091e-02,-3.447949265726011486e-02
7.620636287224846761e-02,-4.246691084355112139e-02
8.154952750496323455e-02,-5.109709006573725371e-02
8.627094601065876667e-02,-6.010441045497609547e-02
9.044104419397000494e-02,-6.930653895845646784e-02
9.405982205489699099e-02,-7.870347557617839163e-02
9.712727959343964157e-02,-8.829522030814185296e-02
9.964809193330494141e-02,-9.807982775234530548e-02
1.018830327258551799e-01,-1.079487853612896842e-01
1.039822295567189719e-01,-1.178396223804284715e-01
1.059456824258963037e-01,-1.277523388097616674e-01
1.077733913333871613e-01,-1.376869346492892998e-01
1.094742579405172944e-01,-1.476416904743144132e-01
1.113420433744374688e-01,-1.575598640522872240e-01
1.135191784186372344e-01,-1.674139437763541571e-01
1.160056630731166050e-01,-1.772039296465152680e-01
1.188014973378756223e-01,-1.869298216627705012e-01
1.219178831499388299e-01,-1.965830411457895055e-01
1.256012684120210166e-01,-2.059748531005111405e-01
1.299524737302574229e-01,-2.150280469830781749e-01
1.349714991046480628e-01,-2.237426227934906364e-01
1.406583445351929917e-01,-2.321185805317484974e-01
1.470124092015547557e-01,-2.401319405584110833e-01
1.540242132891200544e-01,-2.474043492754734175e-01
1.616904855546387743e-01,-2.538052464658756557e-01
1.700112259981109153e-01,-2.593346321296177703e-01
1.789864346195365052e-01,-2.639925062666997890e-01
1.885806379582197212e-01,-2.677548778550916664e-01
1.983724889473866271e-01,-2.703367860659661726e-01
2.082396359021590482e-01,-2.716554833491901522e-01
2.181820788225370678e-01,-2.717109697047635497e-01
2.281998177085206025e-01,-2.705032451326865872e-01
2.382343704954837660e-01,-2.680497246136191447e-01
2.477447660071353530e-01,-2.645115003154432376e-01
2.565994144215372752e-01,-2.599277574861279527e-01
2.647983157386895603e-01,-2.542984961256732346e-01
2.723414699585922083e-01,-2.476237162340793052e-01
2.792040052104937109e-01,-2.399646406532967846e-01
2.852022953312996489e-01,-2.317732705887620703e-01
2.902991844504245189e-01,-2.231410663095932390e-01
2.944946725678682098e-01,-2.140680278157903738e-01
2.977887596836308326e-01,-2.045541551073533360e-01
3.002158646271159692e-01,-1.946506992989250895e-01
3.019825052492394746e-01,-1.846651743366928278e-01
3.031231020042491897e-01,-1.746488337547622005e-01
3.036376548921450591e-01,-1.646016775531329301e-01
3.035261639129271383e-01,-1.545237057318052665e-01
3.028560841223058575e-01,-1.444237567973770953e-01
3.019607965986008669e-01,-1.343455130332492364e-01
3.008854595741307647e-01,-1.242948914360072071e-01
2.996300730488955510e-01,-1.142718920056508131e-01
2.981946370228954479e-01,-1.042765147421803318e-01
2.966599985614257751e-01,-9.429745648268304803e-02
2.953585374142510545e-01,-8.428824748275105805e-02
2.943261877307468133e-01,-7.424386381797831724e-02
2.935629495109128850e-01,-6.416430548836458969e-02
2.930688227547495472e-01,-5.404957249391011825e-02
2.929357378649701804e-01,-4.392413378880970221e-02
2.934802920399073312e-01,-3.387225749455052837e-02
2.947291414542594357e-01,-2.390103863844098009e-02
2.966822861080263829e-01,-1.401047722048085614e-02
2.993397260012082839e-01,-4.200573240670372500e-03
3.027502007347002699e-01,5.411298925580199440e-03
3.070549596738477161e-01,1.448498351724759534e-02
3.122629556946058260e-01,2.299892027934207980e-02
3.183741887969747664e-01,3.095310921186382805e-02
3.253886589809543706e-01,3.834755031481267007e-02
3.332029684373635225e-01,4.501983221882388531e-02
3.415643593730621763e-01,5.057293742781519830e-02
3.504613420578610028e-01,5.498881853025574390e-02
3.598939164917600020e-01,5.826747552614556375e-02
3.698620826747590629e-01,6.040890841548460927e-02
3.801228273519834944e-01,6.138460431926912042e-02
3.901749195526535985e-01,6.113575353170679766e-02
4.000031691557810465e-01,5.966057378753806401e-02
4.096075761613662269e-01,5.695906508676288477e-02
4.189881405694089178e-01,5.303122742938132239e-02
4.279720498376086146e-01,4.804600309815172665e-02
4.362591139496371229e-01,4.229685914091955989e-02
4.438439503531366737e-01,3.578905756396238286e-02
4.507265590481074335e-01,2.852259836728011227e-02
4.569069400345491805e-01,2.049748155087290427e-02
4.624202823699324338e-01,1.191544557842222005e-02
4.673178510739434133e-01,3.070392220979243497e-03
4.716000806819390379e-01,-6.035187335230507433e-03
4.752669711939193076e-01,-1.540129309020713336e-02
4.783185226098841114e-01,-2.502792504395043305e-02
4.809316707730264540e-01,-3.481561440449551514e-02
4.833211003284348384e-01,-4.464367097185201888e-02
4.854873016345023218e-01,-5.451181907911097080e-02
4.874302746912289042e-01,-6.442005872627246110e-02
4.891500194986148631e-01,-7.436838991333628857e-02
