x, y
-9.524057810430042778e-22,6.982397956034897545e-22
1.021157786380219243e-02,-7.574821761675180421e-04
2.005347880349667850e-02,-2.641117292549424039e-03
2.952570281908345126e-02,-5.650905349145718751e-03
3.862824991056251767e-02,-9.786846345956400767e-03
4.736073044830312745e-02,-1.504829496438150893e-02
5.555248279139975154e-02,-2.115259526019538580e-02
6.306284714838253369e-02,-2.786678143064623761e-02
6.989182351925143921e-02,-3.519085347573405048e-02
7.603941190400653749e-02,-4.312481139545885217e-02
8.150644080798649660e-02,-5.166659861863669156e-02
8.639067601231276150e-02,-6.057353440583536364e-02
9.075922820945733771e-02,-6.967903212228243603e-02
9.461209739942022523e-02,-7.898309176797797815e-02
9.794928358220139630e-02,-8.848571334292192059e-02
1.007755233343940321e-01,-9.818487665352423899e-02
1.033550180869338281e-01,-1.079678973534510256e-01
1.058398688007068239e-01,-1.177699029804543523e-01
1.082300754757130196e-01,-1.275908935345342332e-01
1.105256381119524289e-01,-1.374308690156906820e-01
1.127356485900549987e-01,-1.472874490548665427e-01
1.151601454089071219e-01,-1.570820797876013586e-01
1.179446029506638349e-01,-1.667766741852613754e-01
1.210890212153251932e-01,-1.763712322478466765e-01
1.245934002028911691e-01,-1.858657539753572063e-01
1.284675676940847389e-01,-1.952500231013528653e-01
1.329277395042768040e-01,-2.042992769412916021e-01
1.380623684436622089e-01,-2.129215662034871781e-01
1.438714545122409816e-01,-2.211168908879395933e-01
1.503549977100130941e-01,-2.288852509946488201e-01
1.575079842935410701e-01,-2.362027285478966454e-01
1.652513068236279303e-01,-2.426919428872126583e-01
1.735576673322166141e-01,-2.482226695315689902e-01
1.824270658193070660e-01,-2.527949084809656966e-01
1.918595022848992859e-01,-2.564086597354026109e-01
2.018161550290407114e-01,-2.590456255792953355e-01
2.118359072313992231e-01,-2.604884692025614124e-01
2.217848587788797954e-01,-2.606740798658683800e-01
2.316630096714824560e-01,-2.596024575692161829e-01
2.414703599092072606e-01,-2.572736023126048766e-01
2.511522710249389223e-01,-2.537117691357038129e-01
2.602033259131920628e-01,-2.491413221649297904e-01
2.685005831866429937e-01,-2.436168373864692205e-01
2.760440428452918260e-01,-2.371383148003220753e-01
2.828337048891386152e-01,-2.297057544064883550e-01
2.888520099598820834e-01,-2.213809604360348626e-01
2.939693193333796639e-01,-2.126202264234191563e-01
2.981594012375574643e-01,-2.035158811698841719e-01
3.014222556724155400e-01,-1.940679246754299092e-01
3.037578826379538355e-01,-1.842763569400564239e-01
3.052050636318505150e-01,-1.741876634536239088e-01
3.059964931325224180e-01,-1.640807637387027285e-01
3.061709544684445006e-01,-1.540021454796402511e-01
3.057284476396168738e-01,-1.439518086764361993e-01
3.046689726460395375e-01,-1.339297533290909059e-01
3.030615222889711524e-01,-1.239377017192695163e-01
3.012470775999690487e-01,-1.139841658274708680e-01
2.992718262652597216e-01,-1.040702986465248947e-01
2.971357682848432269e-01,-9.419610017643137434e-02
2.948389036587198420e-01,-8.436157041719055671e-02
2.924639498124367853e-01,-7.454828347302154545e-02
2.903509759507841848e-01,-6.468048650606438021e-02
2.885367475434140183e-01,-5.474998974605439078e-02
2.870212645903263970e-01,-4.475679319299135511e-02
2.858045270915213765e-01,-3.470089684687549525e-02
2.849795528849908277e-01,-2.460407774911427953e-02
2.848666841647641279e-01,-1.454133339883844495e-02
2.854928924186884709e-01,-4.518978275295968197e-03
2.868581776467636901e-01,5.462987621513364089e-03
2.889625398489900077e-01,1.540456429158933854e-02
2.918550486676309563e-01,2.518796821948033129e-02
2.956779099414736933e-01,3.447185793951805521e-02
3.004401371710861968e-01,4.323459804262921174e-02
3.061417303564686332e-01,5.147618852881398477e-02
3.127826894976208916e-01,5.919662939807219387e-02
3.202636460327062951e-01,6.623226768873498316e-02
3.283416917357552256e-01,7.218305081013484670e-02
3.370057846129976831e-01,7.703079338301516144e-02
3.462559246644336675e-01,8.077549540737599676e-02
3.560921118900630677e-01,8.341715688321725553e-02
3.662771304395155969e-01,8.491682881041220932e-02
3.763217068736665061e-01,8.519417629054332197e-02
3.862110134520729265e-01,8.424676472380006331e-02
3.959450501747351359e-01,8.207459411018236395e-02
4.055238170416529675e-01,7.867766444969030715e-02
4.147662774652520201e-01,7.421026077871700766e-02
4.233579555663139482e-01,6.894038926728561500e-02
4.312932126400415012e-01,6.287285539580503291e-02
4.385720486864347900e-01,5.600765916427517810e-02
4.451944637054936482e-01,4.834480057269623099e-02
4.511791285578803379e-01,4.008626923529323705e-02
4.565532438027520845e-01,3.152633281065420068e-02
4.613170399989725001e-01,2.266748558636057578e-02
4.654705171465415292e-01,1.350972756241224787e-02
4.690136752454591162e-01,4.053058738809419033e-03
4.721172326164294608e-01,-5.591747935425347635e-03
4.749883298898021633e-01,-1.529028639074038812e-02
4.776274401927849689e-01,-2.504224963198825940e-02
4.800345635253777665e-01,-3.484763765916904649e-02
4.822096998875806118e-01,-4.470645047228255509e-02
