t, r_OP_x, r_OP_y, r_OP_z, ex_B_x, ex_B_y, ex_B_z, ey_B_x, ey_B_y, ey_B_z, ez_B_x, ez_B_y, ez_B_z, v_P_x, v_P_y, v_P_z, B_Omega_x, B_Omega_y, B_Omega_z
0.000000000000000000e+00, 2.104659999999999864e-02, 1.580753207553111106e-01, -1.152706782864126034e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.000000000000002220e-01, -8.660254037844382635e-01, 0.000000000000000000e+00, 8.660254037844382635e-01, -5.000000000000002220e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.000000000000000021e-02, 2.104659999999999864e-02, 1.578196027908051469e-01, -1.155721341807978975e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.010871676202821590e-01, -8.653968167530335931e-01, 0.000000000000000000e+00, 8.653968167530335931e-01, -5.010871676202821590e-01, 2.020484809519189349e-24, -5.118154687383022483e-02, -6.022755516262347925e-02, -2.518069678139971956e-01, -7.834231970851767768e-25, 2.035776724063703959e-25
2.000000000000000042e-02, 2.104659999999999864e-02, 1.570502319649221545e-01, -1.164726640558696874e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.043782230780475828e-01, -8.634828360104392919e-01, 0.000000000000000000e+00, 8.634828360104392919e-01, -5.043782230780475828e-01, 2.038429285088714431e-23, -1.028032145432786065e-01, -1.196910975183351766e-01, -5.115046349784091451e-01, -2.869999546517652504e-40, -7.260974779033694015e-40
2.999999999999999889e-02, 2.104659999999999864e-02, 1.557607686962909632e-01, -1.179609853999125518e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.099579382078280876e-01, -8.601993380948514956e-01, 0.000000000000000000e+00, 8.601993380948514956e-01, -5.099579382078280876e-01, -7.427965160966763638e-23, -1.552579846130293373e-01, -1.776447587621829138e-01, -7.867845030163055364e-01, -7.124135003120223355e-40, -2.310513783012747533e-39
4.000000000000000083e-02, 2.104659999999999864e-02, 1.539412908663858326e-01, -1.200181677482646536e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.179672411606757176e-01, -8.554004542226982810e-01, 0.000000000000000000e+00, 8.554004542226982810e-01, -5.179672411606757176e-01, -6.022991354264102174e-22, -2.088394821618917430e-01, -2.333783565610213495e-01, -1.084840310857812185e+00, 3.875014645844789207e-39, 1.342129582207572198e-38
5.000000000000000278e-02, 2.104659999999999864e-02, 1.515804546378371753e-01, -1.226185726418181215e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.285857063223984298e-01, -8.488799391384219684e-01, 0.000000000000000000e+00, 8.488799391384219684e-01, -5.285857063223984298e-01, 4.216688864264923550e-22, -2.637380951669432427e-01, -2.862135334378214657e-01, -1.411988963084924498e+00, -1.216347553978520032e-39, -4.201927913743974378e-39
5.999999999999999778e-02, 2.104659999999999864e-02, 1.486618102022402854e-01, -1.257315322595250195e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.420095629526782144e-01, -8.403723184802357471e-01, 0.000000000000000000e+00, 8.403723184802357471e-01, -5.420095629526782144e-01, 2.059386115521098131e-22, -3.200040026927298831e-01, -3.355710425731778246e-01, -1.774265892256051247e+00, -8.399057343211321728e-40, -2.901492536745714731e-39
7.000000000000000666e-02, 2.104659999999999864e-02, 1.451744713965273936e-01, -1.293166252926921944e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.584682709547796886e-01, -8.295258828612755986e-01, 0.000000000000000000e+00, 8.295258828612755986e-01, -5.584682709547796886e-01, -2.300476840906445070e-22, -3.775477372088032468e-01, -3.808680668744259812e-01, -2.174597582230099135e+00, 7.881512740520586397e-40, 2.722704401270776027e-39
8.000000000000000167e-02, 2.104659999999999864e-02, 1.411073072073150136e-01, -1.333324275122490521e-01, 1.000000000000000000e+00, -1.281701361682732558e-58, -3.071893653910932645e-59, -9.916571072223177277e-59, -5.781465161800714014e-01, -8.159329665045076396e-01, 8.681819328022311221e-59, 8.159329665045076396e-01, -5.781465161800714014e-01, 6.222546606590849581e-24, -4.362685235662299710e-01, -4.215254599144432901e-01, -2.615658746923880784e+00, 1.430136379931400080e-57, 1.168565693229436057e-57
8.999999999999999667e-02, 2.104659999999999864e-02, 1.364468031914564394e-01, -1.377302279187742062e-01, 1.000000000000000000e+00, 3.134444304803936214e-58, 2.073285666110211394e-58, 3.541177431189007103e-58, -6.011935592288133456e-01, -7.991034378237846791e-01, -1.258299230729129039e-58, 7.991034378237846791e-01, -6.011935592288133456e-01, 6.919178963791287253e-23, -4.959244520773173348e-01, -4.570588425280437961e-01, -3.098290165646500505e+00, -8.577620894854552794e-58, -2.266799275874741734e-57
