t, r_OP_x, r_OP_y, r_OP_z, ex_B_x, ex_B_y, ex_B_z, ey_B_x, ey_B_y, ey_B_z, ez_B_x, ez_B_y, ez_B_z, v_P_x, v_P_y, v_P_z, B_Omega_x, B_Omega_y, B_Omega_z
0.000000000000000000e+00, 3.141592653589793116e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.000000000000000056e-01, 3.089767228857627668e+00, -5.823772041412396128e-01, 0.000000000000000000e+00, 9.708974760623201306e-01, -2.394954926002083317e-01, 0.000000000000000000e+00, 2.394954926002083317e-01, 9.708974760623201306e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.000000000000000111e-01, 2.963540090789888115e+00, -1.078284043282770277e+00, 0.000000000000000000e+00, 9.024893289658888484e-01, -4.307122137839832221e-01, 0.000000000000000000e+00, 4.307122137839832221e-01, 9.024893289658888484e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.000000000000000444e-01, 2.810234683049412929e+00, -1.471038664894528836e+00, 0.000000000000000000e+00, 8.243614091199413796e-01, -5.660638366419326051e-01, 0.000000000000000000e+00, 5.660638366419326051e-01, 8.243614091199413796e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.000000000000000222e-01, 2.656964060018333740e+00, -1.782189866753342233e+00, 0.000000000000000000e+00, 7.520447141240795830e-01, -6.591120905870498925e-01, 0.000000000000000000e+00, 6.591120905870498925e-01, 7.520447141240795830e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.000000000000000000e-01, 2.513623016265662979e+00, -2.035805741929225476e+00, 0.000000000000000000e+00, 6.900300120946515348e-01, -7.237807557600955954e-01, 0.000000000000000000e+00, 7.237807557600955954e-01, 6.900300120946515348e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.000000000000000888e-01, 2.382450090546625709e+00, -2.249504320514556621e+00, 0.000000000000000000e+00, 6.383731229908052862e-01, -7.697270658116202036e-01, 0.000000000000000000e+00, 7.697270658116202036e-01, 6.383731229908052862e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.000000000000000666e-01, 2.262971754328103824e+00, -2.435087086935372458e+00, 0.000000000000000000e+00, 5.958497201272527910e-01, -8.030959538089296190e-01, 0.000000000000000000e+00, 8.030959538089296190e-01, 5.958497201272527910e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.000000000000000444e-01, 2.153936351311227515e+00, -2.600413473519568530e+00, 0.000000000000000000e+00, 5.610685143082045911e-01, -8.277693653741868829e-01, 0.000000000000000000e+00, 8.277693653741868829e-01, 5.610685143082045911e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.000000000000000222e-01, 2.054001123369020743e+00, -2.750823617724236225e+00, 0.000000000000000000e+00, 5.328009961094681834e-01, -8.462405677729936126e-01, 0.000000000000000000e+00, 8.462405677729936126e-01, 5.328009961094681834e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.000000000000000000e+00, 1.961953177559587314e+00, -2.890049421643352101e+00, 0.000000000000000000e+00, 5.100464962218616005e-01, -8.601468314722797714e-01, 0.000000000000000000e+00, 8.601468314722797714e-01, 5.100464962218616005e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
