frame, lambda, x, y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
8.000000000000000000e+00,7.951433350686496274e-03,9.836076779343727594e-04,1.970669013350487830e-01
1.700000000000000000e+01,1.687560695370722563e-02,4.388628775075176236e-03,4.236065945305682590e-01
2.600000000000000000e+01,2.577835527968675572e-02,1.033741920746678034e-02,6.554093258727391458e-01
3.500000000000000000e+01,3.466035175823314884e-02,1.894180881076934497e-02,8.926167622032465943e-01
4.300000000000000000e+01,4.253822662601492582e-02,2.890704682293687711e-02,1.108116089678802041e+00
5.200000000000000000e+01,5.138119673354026723e-02,4.281848752841099781e-02,1.355901117395291067e+00
6.100000000000000000e+01,6.020254816869919506e-02,5.968294953255082191e-02,1.609466465189470341e+00
7.000000000000000000e+01,6.900077924283178066e-02,7.958999693614643434e-02,1.868922523096955501e+00
7.800000000000000000e+01,7.680023589020353036e-02,9.990441601178190467e-02,2.104573012263045939e+00
8.700000000000000000e+01,8.554809026211109002e-02,1.257681575080233927e-01,2.375401954737355936e+00
9.600000000000000000e+01,9.426424139697266169e-02,1.548741901958052836e-01,2.652345407079124584e+00
1.050000000000000000e+02,1.029441446252920139e-01,1.872660508496402088e-01,2.935437687792315842e+00
1.130000000000000000e+02,1.106248773657966117e-01,2.188402954901462749e-01,3.192243768562690320e+00
1.220000000000000000e+02,1.192211095905256896e-01,2.575017059197897140e-01,3.486946598443012135e+00
1.310000000000000000e+02,1.277636610586680987e-01,2.994839375105264878e-01,3.787737809841488001e+00
1.400000000000000000e+02,1.362452844910660987e-01,3.447655274966514583e-01,4.094536398577801606e+00
1.480000000000000000e+02,1.437271871213564312e-01,3.877548146663549744e-01,4.372199637003603812e+00
1.570000000000000000e+02,1.520727216150015160e-01,4.391500424047904971e-01,4.690016303166487432e+00
1.660000000000000000e+02,1.603348976951814719e-01,4.936901479837700890e-01,5.013439492879285808e+00
1.750000000000000000e+02,1.685060998473305038e-01,5.512945003581286585e-01,5.342281789046054996e+00
1.830000000000000000e+02,1.756872010210170365e-01,6.049976027031114256e-01,5.638969822474081184e+00
1.920000000000000000e+02,1.836674932899123869e-01,6.681363189805153979e-01,5.977478160644508876e+00
2.010000000000000000e+02,1.915379683327105842e-01,7.340596609990690524e-01,6.320783653802578783e+00
2.100000000000000000e+02,1.992937486493794319e-01,8.026642160267840609e-01,6.668660840517134147e+00
2.180000000000000000e+02,2.060883588751994122e-01,8.658143974188057257e-01,6.981543322716362354e+00
2.270000000000000000e+02,2.136178894541270468e-01,9.392083239302913000e-01,7.337456405723017383e+00
2.360000000000000000e+02,2.210245929847386992e-01,1.015001402691204646e+00,7.697324042323600679e+00
2.450000000000000000e+02,2.283077428633928652e-01,1.093108642480210335e+00,8.060955697539668563e+00
2.530000000000000000e+02,2.346781266597140758e-01,1.164418339493380472e+00,8.387201794770390961e+00
2.620000000000000000e+02,2.417293678218337127e-01,1.246697054103456992e+00,8.757478465190345673e+00
2.710000000000000000e+02,2.486602235633607605e-01,1.331096951294984621e+00,9.131057397475231596e+00
2.800000000000000000e+02,2.554732902293636032e-01,1.417570704952296978e+00,9.507809866025596079e+00
2.880000000000000000e+02,2.614330265399936182e-01,1.496146765503091558e+00,9.845272752071210220e+00
2.970000000000000000e+02,2.680326719045528772e-01,1.586443132173673831e+00,1.022771984750903584e+01
3.060000000000000000e+02,2.745249305658073458e-01,1.678730148728888594e+00,1.061304713125460353e+01
3.150000000000000000e+02,2.809140747370351132e-01,1.772995624966576145e+00,1.100117571695129470e+01
3.230000000000000000e+02,2.865103581771914487e-01,1.858444013683847373e+00,1.134847406312736950e+01
3.320000000000000000e+02,2.927170221773953696e-01,1.956438650101645749e+00,1.174170997773268255e+01
3.410000000000000000e+02,2.988337597924788369e-01,2.056414969313369312e+00,1.213756557229467603e+01
3.500000000000000000e+02,3.048652237824515665e-01,2.158384956124358212e+00,1.253598963487385731e+01
3.580000000000000000e+02,3.101586714643993492e-01,2.250711812804645717e+00,1.289226240853508898e+01
3.670000000000000000e+02,3.160416036067332790e-01,2.356495431626733250e+00,1.329541187440369754e+01
3.760000000000000000e+02,3.218523828485372329e-01,2.464329919927315871e+00,1.370100129764824715e+01
3.850000000000000000e+02,3.275953483144780631e-01,2.574241024697553115e+00,1.410899022248024437e+01
3.930000000000000000e+02,3.326466777549309528e-01,2.673705696136163823e+00,1.447362952512776246e+01
4.020000000000000000e+02,3.382728999524190483e-01,2.787617122830514660e+00,1.488604358216232981e+01
4.110000000000000000e+02,3.438430426430188480e-01,2.903690654356541501e+00,1.530074416746273869e+01
4.200000000000000000e+02,3.493608644497018800e-01,3.021958539618495365e+00,1.571769223112926284e+01
4.280000000000000000e+02,3.542245826567511635e-01,3.128954477888065355e+00,1.609016759369990268e+01
4.370000000000000000e+02,3.596532590018221565e-01,3.251458109392039830e+00,1.651125264586414687e+01
4.460000000000000000e+02,3.650395650792839231e-01,3.376253274545529592e+00,1.693446926574843303e+01
4.550000000000000000e+02,3.703866353667727429e-01,3.503374317686215988e+00,1.735977580480421523e+01
4.630000000000000000e+02,3.751090606628045276e-01,3.618351220947541691e+00,1.773954617427804692e+01
4.720000000000000000e+02,3.803900287217089615e-01,3.749959478764040455e+00,1.816868344438326233e+01
4.810000000000000000e+02,3.856399652410830159e-01,3.883992833052129612e+00,1.859978508510035056e+01
4.900000000000000000e+02,3.908614307236721319e-01,4.020485262025886186e+00,1.903280579597320354e+01
4.980000000000000000e+02,3.954807953637025086e-01,4.143903480985912324e+00,1.941928682323630539e+01
5.070000000000000000e+02,4.006549944203251501e-01,4.285132299886992513e+00,1.985580563564300860e+01
5.160000000000000000e+02,4.058073792498806953e-01,4.428916247291901698e+00,2.029410764735942507e+01
5.250000000000000000e+02,4.109400150353986758e-01,4.575287665846673235e+00,2.073414424509851983e+01
5.330000000000000000e+02,4.154873580868048144e-01,4.707593519692171213e+00,2.112670421757394479e+01
5.420000000000000000e+02,4.205879244126863314e-01,4.858938722131785681e+00,2.156988212796143500e+01
5.510000000000000000e+02,4.256740834566423159e-01,5.012961746741716240e+00,2.201465037866955754e+01
5.600000000000000000e+02,4.307474837751722463e-01,5.169692734756612396e+00,2.246095793133486040e+01
5.680000000000000000e+02,4.352477194338162936e-01,5.311306413600320298e+00,2.285892638825393419e+01
5.770000000000000000e+02,4.403011831838453127e-01,5.473232546248947727e+00,2.330800069303529654e+01
5.860000000000000000e+02,4.453461288518202332e-01,5.637950320959365769e+00,2.375846452600680436e+01
5.950000000000000000e+02,4.503838566939806776e-01,5.805487527592934072e+00,2.421026545134444063e+01
6.030000000000000000e+02,4.548567657322177826e-01,5.956798416995795264e+00,2.461294622627717388e+01
6.120000000000000000e+02,4.598841269996338244e-01,6.129734940868207360e+00,2.506712906258120199e+01
6.210000000000000000e+02,4.649075889315649190e-01,6.305567872607067414e+00,2.552249663513030953e+01
6.300000000000000000e+02,4.699281589901787015e-01,6.484322755124349413e+00,2.597899610016557403e+01
6.390000000000000000e+02,4.749467768076757190e-01,6.666024591973478408e+00,2.643657465701524245e+01
6.470000000000000000e+02,4.794068398576379897e-01,6.830031127128869173e+00,2.684417444892481797e+01
6.560000000000000000e+02,4.844241052891309907e-01,7.017365835000624941e+00,2.730364762514275867e+01
6.650000000000000000e+02,4.894417755976765982e-01,7.207716895567656934e+00,2.776404811027016706e+01
6.740000000000000000e+02,4.944605503670482793e-01,7.401107427300825492e+00,2.822532379191144969e+01
6.820000000000000000e+02,4.989231318572560636e-01,7.575580134942821786e+00,2.863603946068251105e+01
6.910000000000000000e+02,5.039457034127257096e-01,7.774773500907176782e+00,2.909882721156495222e+01
7.000000000000000000e+02,5.089710898544445028e-01,7.977070866405988170e+00,2.956234147130933820e+01
7.090000000000000000e+02,5.139997811928564975e-01,8.182493885200003092e+00,3.002653155920758365e+01
7.170000000000000000e+02,5.184728603326259622e-01,8.367733400873099470e+00,3.043967173470282717e+01
7.260000000000000000e+02,5.235089553739599166e-01,8.579118490945106146e+00,3.090500182412787922e+01
7.350000000000000000e+02,5.285494946090858459e-01,8.793690252432526222e+00,3.137086414564483050e+01
7.440000000000000000e+02,5.335947806510707991e-01,9.011469393726962096e+00,3.183721009243706135e+01
7.520000000000000000e+02,5.380836732163168934e-01,9.207760092099427141e+00,3.225210702676267260e+01
7.610000000000000000e+02,5.431385910128438965e-01,9.431653629860399235e+00,3.271923611353587091e+01
7.700000000000000000e+02,5.481988775713338979e-01,9.658813694616618761e+00,3.318671205093626497e+01
7.790000000000000000e+02,5.532646634395539387e-01,9.889260665652592763e+00,3.365448886547001450e+01
7.870000000000000000e+02,5.577722730529237616e-01,1.009687829136806414e+01,3.407050649732644843e+01
7.960000000000000000e+02,5.628486528683436241e-01,1.033358960172330399e+01,3.453872891242897936e+01
8.050000000000000000e+02,5.679306723541492907e-01,1.057364702250756494e+01,3.500712377015187826e+01
8.140000000000000000e+02,5.730182996120013472e-01,1.081707132487009915e+01,3.547564822630543802e+01
8.220000000000000000e+02,5.775452848321198651e-01,1.103629197303217779e+01,3.589218926274826060e+01
8.310000000000000000e+02,5.826432733049495827e-01,1.128613347676367340e+01,3.636084475176312480e+01
8.400000000000000000e+02,5.877465488285362749e-01,1.153940337459042809e+01,3.682951110730849109e+01
8.490000000000000000e+02,5.928549217792035142e-01,1.179612367153988828e+01,3.729814906553212950e+01
8.570000000000000000e+02,5.973997920616110902e-01,1.202723428015507778e+01,3.771466133584625879e+01
8.660000000000000000e+02,6.025171334227266140e-01,1.229053375340164678e+01,3.818314204997689387e+01
8.750000000000000000e+02,6.076387976065462659e-01,1.255735008141851239e+01,3.865148659566500555e+01
8.840000000000000000e+02,6.127644376064275145e-01,1.282770749152916068e+01,3.911965971299896694e+01
8.920000000000000000e+02,6.173235870926881974e-01,1.307101812534745733e+01,3.953564203658577014e+01
9.010000000000000000e+02,6.224556452219235370e-01,1.334813307238510305e+01,4.000339904105142352e+01
9.100000000000000000e+02,6.275904456596079761e-01,1.362886360682065856e+01,4.047088901050059917e+01
9.190000000000000000e+02,6.327274802187637937e-01,1.391323734953547842e+01,4.093808110230283148e+01
9.270000000000000000e+02,6.372951644505552293e-01,1.416909568886944726e+01,4.135308890312866481e+01
9.360000000000000000e+02,6.424348814707327993e-01,1.446043033575622871e+01,4.181963846376596905e+01
9.450000000000000000e+02,6.475751232398690993e-01,1.475549444947954214e+01,4.228580790407866630e+01
9.540000000000000000e+02,6.527152124023053448e-01,1.505432044991352569e+01,4.275157121976694441e+01
