x, y
-2.617622245556134823e-21,0.000000000000000000e+00
6.338321905122080990e-02,-1.409341045583083251e-03
1.268188150935637692e-01,-5.637364182332333003e-03
1.903067881270288364e-01,-1.268406941024775164e-02
2.538471381516160252e-01,-2.254945672932933201e-02
3.174390875576824644e-01,-3.523309679020315138e-02
3.807420356127105276e-01,-5.054693031068053372e-02
4.434752582608654792e-01,-6.833595831573538448e-02
5.056387555021473190e-01,-8.860018080536768981e-02
5.672325273365559362e-01,-1.113395977795774566e-01
6.282549420934611106e-01,-1.365521898159521852e-01
6.885134584019680926e-01,-1.639996598265389682e-01
7.478759074747767244e-01,-1.935184303059658273e-01
8.063422893118872281e-01,-2.251085012542328456e-01
8.639126039132992707e-01,-2.587698726713400510e-01
9.205848213825651438e-01,-2.944979473973660111e-01
9.762457161577919873e-01,-3.320363005217157326e-01
1.030830104198530606e+00,-3.712373080320642282e-01
1.084337985504781221e+00,-4.121009699284114425e-01
1.136769360076543611e+00,-4.546272862107575974e-01
1.188123099112836201e+00,-4.988089267333070120e-01
1.238361951381933279e+00,-5.444039914942230274e-01
1.287467855535241679e+00,-5.912951947003783904e-01
1.335440811572761177e+00,-6.394825363517729899e-01
1.382280819494492219e+00,-6.889660164484071592e-01
1.427988655006890983e+00,-7.397360012876748048e-01
1.472581384018201600e+00,-7.915805448644046560e-01
1.516065988106251261e+00,-8.444129411264287288e-01
1.558442467271039966e+00,-8.982331900737471342e-01
1.599710821512567938e+00,-9.530412917063597611e-01
1.639874373184743384e+00,-1.008826119761283557e+00
1.678985542781975537e+00,-1.065412122740240219e+00
1.717062419285483310e+00,-1.122738722279917445e+00
1.754105002695266258e+00,-1.180805918380315012e+00
1.790113293011324380e+00,-1.239613711041433364e+00
1.825093350053417662e+00,-1.299150334955062602e+00
1.859117151216229225e+00,-1.359276044012242890e+00
1.892205597453406218e+00,-1.419950258431518009e+00
1.924358688764948422e+00,-1.481172978212887958e+00
1.955576425150856057e+00,-1.542944203356353405e+00
1.985867469691680931e+00,-1.605252264057964506e+00
2.015311957671745091e+00,-1.667989212220986950e+00
2.043929381789099775e+00,-1.731128789753584307e+00
2.071719742043745427e+00,-1.794670996655755912e+00
2.098683038435682491e+00,-1.858615832927502876e+00
2.124830207759993428e+00,-1.922952259467026526e+00
2.150241995117737837e+00,-1.987598775854535038e+00
2.174934738891613151e+00,-2.052538890872224187e+00
2.198908439081617594e+00,-2.117772604520093527e+00
2.222163095687752055e+00,-2.183299916798143059e+00
2.244711511647528024e+00,-2.249110754696444836e+00
2.266630506399205380e+00,-2.315144678728867866e+00
2.287932883484697477e+00,-2.381391615409957918e+00
2.308618642904003426e+00,-2.447851564739714991e+00
2.328687784657124116e+00,-2.514524526718138198e+00
2.348154573288843139e+00,-2.581401560856327215e+00
2.367089508026715805e+00,-2.648438480846829535e+00
2.385502138364407276e+00,-2.715629301420330322e+00
2.403392464301917997e+00,-2.782974022576833129e+00
2.420760485839249299e+00,-2.850472644316336179e+00
2.437621578181619508e+00,-2.918117398505829740e+00
2.454038952118995809e+00,-2.985876348672469316e+00
2.470019441479161415e+00,-3.053746042108959724e+00
2.485563046262116327e+00,-3.121726478815302741e+00
2.500669766467860988e+00,-3.189817658791497479e+00
2.515355818540528698e+00,-3.258012938873320330e+00
2.529677049954172308e+00,-3.326289440805933140e+00
2.543638162835129002e+00,-3.394645238334898174e+00
2.557239157183397449e+00,-3.463080331460215877e+00
2.570480032998978981e+00,-3.531594720181885361e+00
2.583377674250125544e+00,-3.600182783058891722e+00
2.595981011370330549e+00,-3.668828228924271073e+00
2.608293145740620655e+00,-3.737530025187211002e+00
2.620314077360994087e+00,-3.806288171847711510e+00
2.632043806231451732e+00,-3.875102668905771708e+00
2.643499812961156437e+00,-3.943968779358129950e+00
2.654724829211734694e+00,-4.012874923515623138e+00
2.665720797456478497e+00,-4.081820574994860173e+00
2.676487717695387847e+00,-4.150805733795841057e+00
2.687025589928462299e+00,-4.219830399918564900e+00
2.697352528125854576e+00,-4.288890562214397129e+00
2.707505893553510123e+00,-4.357977947422998710e+00
2.717486818468178189e+00,-4.427092304817987767e+00
2.727295302869860105e+00,-4.496233634399366963e+00
2.736931346758554540e+00,-4.565401936167135410e+00
2.746413847250658069e+00,-4.634593749443866706e+00
2.755775630237181861e+00,-4.703803062739883245e+00
2.765017284302248690e+00,-4.773029768266265904e+00
2.774138809445857223e+00,-4.842273866023014683e+00
2.783140205668008793e+00,-4.911535356010128694e+00
2.792041424143877570e+00,-4.980811132627974480e+00
2.800871530653043617e+00,-5.050096671497728451e+00
2.809630771564454843e+00,-5.119391934269605926e+00
2.818319146878111248e+00,-5.188696920943607793e+00
2.826936656594011499e+00,-5.258011631519730500e+00
2.835504709800097167e+00,-5.327333088958205565e+00
2.844049283157532138e+00,-5.396657681075567758e+00
2.852570435999267850e+00,-5.465985399621275498e+00
2.861068168325305638e+00,-5.535316244595330559e+00
2.869542480135644613e+00,-5.604650215997732943e+00
