x, y
-5.663296363222519092e-21,1.332277289417080031e-20
6.300287778778718151e-02,-3.353509946649230189e-02
1.248323832748217399e-01,-6.924290692380674628e-02
1.854885164611036752e-01,-1.071234223719433332e-01
2.449712773466329874e-01,-1.471766458109020625e-01
3.032805280009675530e-01,-1.894018202816316609e-01
3.603558535230764193e-01,-2.334673902154628944e-01
4.161474597861970492e-01,-2.791000866053580109e-01
4.706553467903294985e-01,-3.262999094513169274e-01
5.238795145354739891e-01,-3.750668587533398934e-01
5.758202006360479963e-01,-4.253986256551832712e-01
6.265054442102810928e-01,-4.770227591253572985e-01
6.759544925307783281e-01,-5.297522369033300649e-01
7.241673455975401463e-01,-5.835870589891016813e-01
7.711440034105658814e-01,-6.385272253826720368e-01
8.168857178504910221e-01,-6.945689902403296978e-01
8.614623175474754868e-01,-7.515034142048964139e-01
9.049140028959949955e-01,-8.092102107325737093e-01
9.472407738960492152e-01,-8.676893798233615840e-01
9.884426305476383678e-01,-9.269409214772601491e-01
1.028522252220131605e+00,-9.869601554654867659e-01
1.067568060000004371e+00,-1.047592630924071511e+00
1.105622925062029971e+00,-1.108763461983058196e+00
1.142686847406208406e+00,-1.170472648642447266e+00
1.178759827032539897e+00,-1.232720190902238500e+00
1.213846001945464659e+00,-1.295501035684058388e+00
1.248036410196129653e+00,-1.358704012878263701e+00
1.281368294996575674e+00,-1.422283643348228432e+00
1.313841656346802500e+00,-1.486239927093952806e+00
1.345456494246810353e+00,-1.550572864115436822e+00
1.376218266630656828e+00,-1.615277447679418721e+00
1.406213089429876106e+00,-1.680274680954087163e+00
1.435470679065225852e+00,-1.745537304139184842e+00
1.463991035536706065e+00,-1.811065317234710870e+00
1.491774158844316300e+00,-1.876858720240665690e+00
1.518826597899886277e+00,-1.942912819149581027e+00
1.545226139441322921e+00,-2.009171859427248297e+00
1.570995371352094327e+00,-2.075619650949803940e+00
1.596134293632200496e+00,-2.142256193717248181e+00
1.620642906281641871e+00,-2.209081487729580573e+00
1.644528626947635352e+00,-2.276091283331421078e+00
1.667860070398934802e+00,-2.343246270332807413e+00
1.690653926998350043e+00,-2.410536886632975051e+00
1.712910196745881741e+00,-2.477963132231923993e+00
1.734628879641529231e+00,-2.545525007129655126e+00
1.755818075234567122e+00,-2.613218748405411240e+00
1.776537581566352886e+00,-2.681016574847739697e+00
1.796799498482838597e+00,-2.748912865062172806e+00
1.816603825984024034e+00,-2.816907619048710121e+00
1.835950564069908975e+00,-2.885000836807352087e+00
1.854848357358461985e+00,-2.953189230171016533e+00
1.873349074781770707e+00,-3.021453069671537595e+00
1.891461361365899041e+00,-3.089789066986604382e+00
1.909185217110846544e+00,-3.158197222116217784e+00
1.926520642016613660e+00,-3.226677535060378688e+00
1.943476736841435182e+00,-3.295227152437547602e+00
1.960098479987033793e+00,-3.363831972066594567e+00
1.976391964016083413e+00,-3.432490083732411712e+00
1.992357188928584932e+00,-3.501201487435001258e+00
2.007994154724538127e+00,-3.569966183174362317e+00
2.023312372323319952e+00,-3.638781700368482142e+00
2.038350943169009888e+00,-3.707637881921025169e+00
2.053114094586327099e+00,-3.776533629730744579e+00
2.067601826575271584e+00,-3.845468943797642591e+00
2.081814139135843789e+00,-3.914443824121717430e+00
2.095760944751445365e+00,-3.983456127820842685e+00
2.109476380817124852e+00,-4.052498475067925376e+00
2.122963321560356498e+00,-4.121570244512043679e+00
2.136221766981140302e+00,-4.190671436153197149e+00
2.149251717079476265e+00,-4.259802049991386674e+00
2.162063511035792196e+00,-4.328960216601123179e+00
2.174687112219642948e+00,-4.398140518310556857e+00
2.187124419813585519e+00,-4.467342611728805757e+00
2.199375433817619019e+00,-4.536566496855868991e+00
2.211440154231744781e+00,-4.605812173691747446e+00
2.223329404574158730e+00,-4.675077993804483967e+00
2.235069643128601680e+00,-4.744359927572687319e+00
2.246662072621754547e+00,-4.813657791819958121e+00
2.258106693053616887e+00,-4.882971586546294596e+00
2.269403504424187368e+00,-4.952301311751698520e+00
2.280563905557253968e+00,-5.021645488377671107e+00
2.291611407283593582e+00,-5.091001065767876810e+00
2.302546722113773647e+00,-5.160367951470244741e+00
2.313369850047795051e+00,-5.229746145484778452e+00
2.324080791085657793e+00,-5.299135647811475280e+00
2.334691648131189012e+00,-5.368535095630232234e+00
2.345223444952970304e+00,-5.437942121607143520e+00
2.355676558517354913e+00,-5.507356683294769795e+00
2.366050988824341061e+00,-5.576778780693108395e+00
2.376346735873929195e+00,-5.646208413802161985e+00
2.386576775706535258e+00,-5.715644278356507790e+00
2.396760012408121643e+00,-5.785084474242948360e+00
2.406896606214533829e+00,-5.854528985355644366e+00
2.416986557125771373e+00,-5.923977811694593143e+00
2.427029865141833831e+00,-5.993430953259795579e+00
2.437040605562291518e+00,-6.062887096695143363e+00
2.447035856615263683e+00,-6.132344648443416979e+00
2.457015657308908807e+00,-6.201803604864795538e+00
2.466980007643226447e+00,-6.271263965959277265e+00
2.476928907618217046e+00,-6.340725731726863934e+00
