lambda, x, y
0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
1.010101010101010187e-02,4.861855311916418731e-02,2.801364912558454989e-01
2.020202020202020374e-02,1.800602713893826312e-01,5.148780240946079223e-01
3.030303030303030387e-02,3.592590607093714139e-01,6.771700464086627402e-01
4.040404040404040747e-02,5.478312813748654753e-01,7.640996904366392783e-01
5.050505050505051108e-02,7.175882320779646273e-01,7.899111014464518243e-01
6.060606060606060774e-02,8.544557426148676749e-01,7.749643543199882245e-01
7.070707070707071829e-02,9.555393632650879265e-01,7.377856350584359735e-01
8.080808080808081495e-02,1.024249633648765645e+00,6.918350264167447694e-01
9.090909090909091161e-02,1.066390718978738938e+00,6.454366690020820752e-01
1.010101010101010222e-01,1.087893138267345794e+00,6.029829871296057409e-01
1.111111111111111188e-01,1.093826468439206945e+00,5.662801843176964445e-01
1.212121212121212155e-01,1.088147472925533155e+00,5.356059988058549104e-01
1.313131313131313260e-01,1.073787866448425499e+00,5.104168420290854380e-01
1.414141414141414366e-01,1.052856948237592016e+00,4.897755952508604516e-01
1.515151515151515194e-01,1.026854344187601908e+00,4.725918264537428137e-01
1.616161616161616299e-01,9.968537921561372306e-01,4.577476376256960355e-01
1.717171717171717404e-01,9.636493681006791379e-01,4.441590058757839410e-01
1.818181818181818232e-01,9.278668486455123876e-01,4.308037295663935673e-01
1.919191919191919338e-01,8.900471937908290831e-01,4.167343928041205570e-01
2.020202020202020443e-01,8.507078302964182770e-01,4.010866994479034831e-01
2.121212121212121271e-01,8.103860042756573234e-01,3.830886420581159357e-01
2.222222222222222376e-01,7.696673470828819807e-01,3.620729433752026827e-01
2.323232323232323482e-01,7.292012071985947141e-01,3.374932381227662148e-01
2.424242424242424310e-01,6.897035715848223170e-01,3.089430398725043214e-01
2.525252525252525415e-01,6.519481133255844441e-01,2.761755112480868135e-01
2.626262626262626521e-01,6.167460858981581584e-01,2.391213333166412325e-01
2.727272727272727626e-01,5.849163755676691778e-01,1.979015891550534034e-01
2.828282828282828731e-01,5.572478909525039326e-01,1.528326153804153431e-01
2.929292929292929282e-01,5.344574234782095701e-01,1.044202965069620931e-01
3.030303030303030387e-01,5.171469252291889251e-01,5.334227966009438826e-02
3.131313131313131493e-01,5.057645924634398549e-01,4.179758025932973323e-04
3.232323232323232598e-01,5.005740375729335057e-01,-5.343220663338345278e-02
3.333333333333333703e-01,5.016351073080386191e-01,-1.072354446304424475e-01
3.434343434343434809e-01,5.087986228783836218e-01,-1.600187987510079402e-01
3.535353535353535914e-01,5.217156710031488620e-01,-2.108605565363406431e-01
3.636363636363636465e-01,5.398603456768988895e-01,-2.589360744668420811e-01
3.737373737373737570e-01,5.625633275911301467e-01,-3.035543503288564704e-01
3.838383838383838675e-01,5.890526324622705756e-01,-3.441828188247417208e-01
3.939393939393939781e-01,6.184973913321543115e-01,-3.804593544228278001e-01
4.040404040404040886e-01,6.500506541206275690e-01,-4.121919267669844622e-01
4.141414141414141992e-01,6.828878374620970249e-01,-4.393475700923524241e-01
4.242424242424242542e-01,7.162383997115859824e-01,-4.620331544814968994e-01
4.343434343434343647e-01,7.494094164046388729e-01,-4.804708250794090807e-01
4.444444444444444753e-01,7.818007604334754612e-01,-4.949709363277455254e-01
4.545454545454545858e-01,8.129124295066132433e-01,-5.059049502861475700e-01
4.646464646464646964e-01,8.423451435723250391e-01,-5.136802189978647570e-01
4.747474747474748069e-01,8.697956503445207765e-01,-5.187179530097940638e-01
4.848484848484848619e-01,8.950482623836127916e-01,-5.214350878308148252e-01
4.949494949494949725e-01,9.179640608187754625e-01,-5.222302600402763950e-01
5.050505050505050830e-01,9.384690010676949301e-01,-5.214737255946434447e-01
5.151515151515152491e-01,9.565419014276154153e-01,-5.195007995678710966e-01
5.252525252525253041e-01,9.722030305038397158e-01,-5.166082566594693004e-01
5.353535353535353591e-01,9.855037644346021919e-01,-5.130530834749440494e-01
5.454545454545455252e-01,9.965175778358671410e-01,-5.090529917453772146e-01
5.555555555555555802e-01,1.005332471037961195e+00,-5.047881622824967884e-01
5.656565656565657463e-01,1.012044819466542123e+00,-5.004037725551829796e-01
5.757575757575758013e-01,1.016754553051767651e+00,-4.960129513889467989e-01
5.858585858585858563e-01,1.019561527479513341e+00,-4.916998920121571914e-01
5.959595959595960224e-01,1.020562927932531894e+00,-4.875229329444347171e-01
6.060606060606060774e-01,1.019851542686833312e+00,-4.835174817985469775e-01
6.161616161616162435e-01,1.017514752295135994e+00,-4.796987091595806829e-01
6.262626262626262985e-01,1.013634095180556249e+00,-4.760639790860665688e-01
6.363636363636364646e-01,1.008285288643236299e+00,-4.725950110860772102e-01
6.464646464646465196e-01,1.001538603014335838e+00,-4.692597876577435656e-01
6.565656565656565746e-01,9.934595043908285295e-01,-4.660142336364721527e-01
6.666666666666667407e-01,9.841094971780811607e-01,-4.628037004512486896e-01
6.767676767676767957e-01,9.735471110600751876e-01,-4.595642915236801684e-01
6.868686868686869618e-01,9.618289877903714036e-01,-4.562240657118586951e-01
6.969696969696970168e-01,9.490110315216920833e-01,-4.527041547762359341e-01
7.070707070707071829e-01,9.351495926396962144e-01,-4.489198289076389847e-01
7.171717171717172379e-01,9.203026593624217266e-01,-4.447815418828483525e-01
7.272727272727272929e-01,9.045310337159013780e-01,-4.401959846614884597e-01
7.373737373737374590e-01,8.878994696954989330e-01,-4.350671731027836997e-01
7.474747474747475140e-01,8.704777517181664370e-01,-4.292975920651493360e-01
7.575757575757576801e-01,8.523416896520052966e-01,-4.227894145213056398e-01
7.676767676767677351e-01,8.335740036552115040e-01,-4.154458097457018328e-01
7.777777777777777901e-01,8.142650689677842779e-01,-4.071723486994359154e-01
7.878787878787879562e-01,7.945134878027731995e-01,-3.978785073509525927e-01
7.979797979797980112e-01,7.744264534637271824e-01,-3.874792597253366999e-01
8.080808080808081773e-01,7.541198719832155062e-01,-3.758967422799486258e-01
8.181818181818182323e-01,7.337182098401142660e-01,-3.630619605670173389e-01
8.282828282828283983e-01,7.133540430560412204e-01,-3.489164992217279604e-01
8.383838383838384534e-01,6.931672928936263300e-01,-3.334141883544616825e-01
8.484848484848485084e-01,6.733041454867787490e-01,-3.165226744230489331e-01
8.585858585858586745e-01,6.539156655882435443e-01,-2.982248420623304641e-01
8.686868686868687295e-01,6.351561267496788066e-01,-2.785200349268500131e-01
8.787878787878788955e-01,6.171810905951573556e-01,-2.574250275761746365e-01
8.888888888888889506e-01,6.001452760379781814e-01,-2.349747057855044452e-01
8.989898989898991166e-01,5.842002656671979599e-01,-2.112224185571386914e-01
9.090909090909091717e-01,5.694921018926493161e-01,-1.862399712071288460e-01
9.191919191919192267e-01,5.561588306173470553e-01,-1.601172355041017847e-01
9.292929292929293927e-01,5.443280556201317566e-01,-1.329613607320203894e-01
9.393939393939394478e-01,5.341145721953615144e-01,-1.048955796545257418e-01
9.494949494949496138e-01,5.256181528973207229e-01,-7.605761626461725322e-02
9.595959595959596689e-01,5.189215600001921835e-01,-4.659771779083716342e-02
9.696969696969697239e-01,5.140888570327550866e-01,-1.667635071334879621e-02
9.797979797979798899e-01,5.111640845018533552e-01,1.353838219423800747e-02
9.898989898989899450e-01,5.101703525530778549e-01,4.387353159237705746e-02
1.000000000000000000e+00,5.111093866502627314e-01,7.415421463835854266e-02
