x, y
-7.721377608496974332e-22,8.078060877466037566e-21
1.015496821992349814e-02,4.129894619659262326e-04
2.013790105617197651e-02,1.653851531051110657e-03
2.994879850874542643e-02,3.722586207255553815e-03
3.958766057764385310e-02,6.619193490579254081e-03
4.905407863092216963e-02,1.034351132233941005e-02
5.816906782561185457e-02,1.482455639288076873e-02
6.678510836432528797e-02,2.000382406413134598e-02
7.490220024706248370e-02,2.588131433609113657e-02
8.252034347382344870e-02,3.245702720876015440e-02
8.963848399875179451e-02,3.972957781104098640e-02
9.613224167404586795e-02,4.753554775772945995e-02
1.019162365461780406e-01,5.576275954798722012e-02
1.069904686151483542e-01,6.441121318181429467e-02
1.113549378809567669e-01,7.348090865921068360e-02
1.150095434616652534e-01,8.296835037876922059e-02
1.179486582652471416e-01,9.267855724484501401e-02
1.201690427706248038e-01,1.024992784952177272e-01
1.216706969777982261e-01,1.124305141298874017e-01
1.224536208867674225e-01,1.224722641488539959e-01
1.225207718900085674e-01,1.326203666301686290e-01
1.219697460334104866e-01,1.427374752023978788e-01
1.208478629927119963e-01,1.527569971496079981e-01
1.191551227679130687e-01,1.626789324717989593e-01
1.168915253590137038e-01,1.725032811689707901e-01
1.140633544863126625e-01,1.822280574075433313e-01
1.108088549627801317e-01,1.918095719112888342e-01
1.071845820509490371e-01,2.012299516155052481e-01
1.031905357508193788e-01,2.104891965201924620e-01
9.882671606239114281e-02,2.195873066253505312e-01
9.410149542068395323e-02,2.285263121438929068e-01
8.914697509942814957e-02,2.373382460162000718e-01
8.400873989301468892e-02,2.460341619964088178e-01
7.868678980144352963e-02,2.546140600845190338e-01
7.318112482471469948e-02,2.630779402805308864e-01
6.750152494690514482e-02,2.714318490431010256e-01
6.176415497187369430e-02,2.797476050662484059e-01
5.600274709000790246e-02,2.880460632197744397e-01
5.021730130130774850e-02,2.963272235036793489e-01
4.440781760577326015e-02,3.045910859179629115e-01
3.858670773829208506e-02,3.128460921697489572e-01
3.286878281001280599e-02,3.211703297934266899e-01
2.728197032305511305e-02,3.295827933772406126e-01
2.182627027741901315e-02,3.380834829211907255e-01
1.650168267310450285e-02,3.466723984252771396e-01
1.132610490912382313e-02,3.553563983019948358e-01
6.431671425335425650e-03,3.641861174225191622e-01
1.845118989880286005e-03,3.731718015094033225e-01
-2.433552397241571085e-03,3.823134505626470392e-01
-6.404342736030141717e-03,3.916110645822503677e-01
-1.004216593851068803e-02,4.010617117019185662e-01
-1.319650192407086434e-02,4.106478003086642681e-01
-1.584226342047187833e-02,4.203663983977851126e-01
-1.797945042771378205e-02,4.302175059692812109e-01
-1.960806294579654080e-02,4.402011230231523964e-01
-2.070158238811701384e-02,4.502927461376721174e-01
-2.112894674747445301e-02,4.603712727939608396e-01
-2.087240298101718586e-02,4.704202990145950891e-01
-1.993195108874521587e-02,4.804398247995752547e-01
-1.830759107065857080e-02,4.904298501489013362e-01
-1.599001557026896031e-02,5.003382118881392060e-01
-1.294096003450654134e-02,5.099504559390628522e-01
-9.156287616386052375e-03,5.192433973005200487e-01
-4.635998315907418829e-03,5.282170359725111286e-01
6.199078669292656246e-04,5.368713719550358698e-01
6.580005664253214814e-03,5.451412229821346322e-01
1.313607025085906932e-02,5.528021092062864739e-01
2.027898954406694848e-02,5.598351303527467904e-01
2.800876354387700495e-02,5.662402864215153597e-01
3.632539225028907220e-02,5.720175774125925150e-01
4.515252953552843784e-02,5.771244926349188287e-01
5.426892118543114041e-02,5.814378343597028653e-01
6.366054333851502156e-02,5.849497938864864910e-01
7.332739599478024783e-02,5.876603712152697057e-01
8.326947915422663882e-02,5.895695663460525093e-01
9.339485125954803679e-02,5.906873392402010037e-01
1.034787595301333019e-01,5.910380372013425143e-01
1.135109872728530533e-01,5.906227669963393101e-01
1.234915344877074439e-01,5.894415286251912800e-01
1.334204011746963070e-01,5.874943220878979799e-01
1.432327741879008687e-01,5.848404791608461384e-01
1.527949721111985237e-01,5.816023755716117627e-01
1.621029436448826466e-01,5.777837199938729018e-01
1.711566887889535149e-01,5.733845124276295557e-01
1.799562075434109343e-01,5.684047528728816134e-01
1.884872092365277030e-01,5.629237939834157434e-01
1.967248697616613140e-01,5.570794780368736321e-01
2.046687440105590117e-01,5.508742766120425793e-01
2.123188319832207682e-01,5.443081897089228072e-01
2.196751336796464726e-01,5.373812173275143156e-01
2.267697585093851054e-01,5.301657314570821233e-01
2.336494849209366231e-01,5.227671669038168600e-01
2.403147094203383904e-01,5.151864173599751684e-01
2.467654320075903795e-01,5.074234828255566043e-01
2.530016526826924794e-01,4.994783633005614454e-01
2.590855957174317270e-01,4.914089982866939321e-01
2.650927607701211719e-01,4.832856885276335945e-01
2.710233202885442005e-01,4.751085945963907098e-01
2.768772742727008129e-01,4.668777164929650558e-01
2.826546227225910091e-01,4.585930542173568547e-01
