frame, lambda, x, y
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000000e+00,5.932335439655291726e-04,1.300654165635503970e-02,1.961766644795659431e-02
2.000000000000000000e+00,1.185504024398684447e-03,2.602086000218208073e-02,3.922978157932277554e-02
3.000000000000000000e+00,1.776813641197697068e-03,3.904293371876393914e-02,5.883635067672798868e-02
4.000000000000000000e+00,2.367164641590298844e-03,5.207274290419840190e-02,7.843738094923935478e-02
5.000000000000000000e+00,2.956559269278127237e-03,6.511026767748888389e-02,9.803287964749074490e-02
6.000000000000000000e+00,3.544999762158276228e-03,7.815548819800320623e-02,1.176228540381316634e-01
7.000000000000000000e+00,4.132488352325577700e-03,9.120838466549789636e-02,1.372073114036993502e-01
8.000000000000000000e+00,4.719027266097249040e-03,1.042689373200997999e-01,1.567862590425050939e-01
9.000000000000000000e+00,5.304618724022961036e-03,1.173371264423544169e-01,1.763597042681084304e-01
1.000000000000000000e+01,5.889264940879487993e-03,1.304129323531833806e-01,1.959276544095160943e-01
1.100000000000000000e+01,6.472968125727254080e-03,1.434963354134677904e-01,2.154901168112814958e-01
1.200000000000000000e+01,7.055730481867529894e-03,1.565873160247619189e-01,2.350470988323678512e-01
1.300000000000000000e+01,7.637554206902159859e-03,1.696858546285960334e-01,2.545986078470434677e-01
1.400000000000000000e+01,8.218441492723303071e-03,1.827919317066112881e-01,2.741446512443417305e-01
1.500000000000000000e+01,8.798394525531397226e-03,1.959055277807962570e-01,2.936852364275495120e-01
1.600000000000000000e+01,9.377415485852276869e-03,2.090266234131094303e-01,3.132203708146619192e-01
1.700000000000000000e+01,9.955506548540035694e-03,2.221551992056220448e-01,3.327500618377143837e-01
1.800000000000000000e+01,1.053266988280760277e-02,2.352912358003200477e-01,3.522743169431947763e-01
1.900000000000000000e+01,1.110890765221789721e-02,2.484347138794036347e-01,3.717931435911623339e-01
2.000000000000000000e+01,1.168422201471786687e-02,2.615856141647694977e-01,3.913065492557592506e-01
2.100000000000000000e+01,1.225861512262978181e-02,2.747439174185782873e-01,4.108145414244575022e-01
2.200000000000000000e+01,1.283208912268947802e-02,2.879096044425185075e-01,4.303171275986414912e-01
2.300000000000000000e+01,1.340464615603983480e-02,3.010826560783351202e-01,4.498143152927553956e-01
2.400000000000000000e+01,1.397628835825872294e-02,3.142630532072526184e-01,4.693061120348431814e-01
2.500000000000000000e+01,1.454701785934911333e-02,3.274507767507342515e-01,4.887925253654685775e-01
2.600000000000000000e+01,1.511683678377636307e-02,3.406458076696068371e-01,5.082735628384966731e-01
2.700000000000000000e+01,1.568574725047654911e-02,3.538481269644761507e-01,5.277492320204686393e-01
2.800000000000000000e+01,1.625375137285282878e-02,3.670577156756251180e-01,5.472195404904738325e-01
2.900000000000000000e+01,1.682085125881292373e-02,3.802745548827260458e-01,5.666844958403487453e-01
3.000000000000000000e+01,1.738704901075980094e-02,3.934986257052890957e-01,5.861441056738811994e-01
3.100000000000000000e+01,1.795234672562379466e-02,4.067299093020662615e-01,6.055983776074356228e-01
3.200000000000000000e+01,1.851674649485645849e-02,4.199683868715799462e-01,6.250473192689725010e-01
3.300000000000000000e+01,1.908025040446100287e-02,4.332140396512183522e-01,6.444909382990999802e-01
3.400000000000000000e+01,1.964286053499582699e-02,4.464668489183922784e-01,6.639292423493685646e-01
3.500000000000000000e+01,2.020457896159206373e-02,4.597267959893908684e-01,6.833622390835216720e-01
3.600000000000000000e+01,2.076540775396342256e-02,4.729938622199058029e-01,7.027899361766287711e-01
3.700000000000000000e+01,2.132534897641484226e-02,4.862680290048831400e-01,7.222123413151280147e-01
3.800000000000000000e+01,2.188440468786507012e-02,4.995492777785555116e-01,7.416294621964709677e-01
3.900000000000000000e+01,2.244257694185933585e-02,5.128375900139664489e-01,7.610413065297478852e-01
4.000000000000000000e+01,2.299986778656921971e-02,5.261329472236618843e-01,7.804478820343092593e-01
4.100000000000000000e+01,2.355627926482361731e-02,5.394353309589307033e-01,7.998491964408316335e-01
4.200000000000000000e+01,2.411181341410531878e-02,5.527447228102060350e-01,8.192452574903938967e-01
4.300000000000000000e+01,2.466647226657407363e-02,5.660611044068089015e-01,8.386360729347615006e-01
4.400000000000000000e+01,2.522025784907803644e-02,5.793844574169317863e-01,8.580216505361022428e-01
4.500000000000000000e+01,2.577317218316782510e-02,5.927147635476995857e-01,8.774019980667162599e-01
4.600000000000000000e+01,2.632521728509553197e-02,6.060520045450626947e-01,8.967771233091923477e-01
4.700000000000000000e+01,2.687639516585402580e-02,6.193961621935126782e-01,9.161470340561805870e-01
4.800000000000000000e+01,2.742670783116521460e-02,6.327472183165880892e-01,9.355117381099091745e-01
4.900000000000000000e+01,2.797615728151090289e-02,6.461051547759879554e-01,9.548712432829518093e-01
5.000000000000000000e+01,2.852474551212644607e-02,6.594699534725373402e-01,9.742255573968492399e-01
5.100000000000000000e+01,2.907247451302797520e-02,6.728415963453269200e-01,9.935746882829477045e-01
5.200000000000000000e+01,2.961934626902628515e-02,6.862200653719999766e-01,1.012918643781972605e+00
5.300000000000000000e+01,3.016536275973419681e-02,6.996053425685720972e-01,1.032257431743943243e+00
5.400000000000000000e+01,3.071052595957712503e-02,7.129974099895438622e-01,1.051591060027902813e+00
5.500000000000000000e+01,3.125483783780751840e-02,7.263962497277752783e-01,1.070919536501776292e+00
5.600000000000000000e+01,3.179830035852991565e-02,7.398018439142246550e-01,1.090242869042768348e+00
5.700000000000000000e+01,3.234091548068866034e-02,7.532141747184173397e-01,1.109561065536212254e+00
5.800000000000000000e+01,3.288268515810417736e-02,7.666332243477478325e-01,1.128874133876607289e+00
5.900000000000000000e+01,3.342361133946998575e-02,7.800589750479604012e-01,1.148182081966595547e+00
6.000000000000000000e+01,3.396369596838026694e-02,7.934914091026725735e-01,1.167484917717430903e+00
