frame, lambda, x, y
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000000e+00,6.007363365972540189e-04,1.331549471514399154e-02,1.885946066013843847e-02
2.000000000000000000e+00,1.200449323779388634e-03,2.663859229469185685e-02,3.771456558116881297e-02
3.000000000000000000e+00,1.799141500231058160e-03,3.996927010738764857e-02,5.656531767559158652e-02
4.000000000000000000e+00,2.396815451471881204e-03,5.330750705199389233e-02,7.541172177297994494e-02
5.000000000000000000e+00,2.993473758312751535e-03,6.665328205321491284e-02,9.425378275932416727e-02
6.000000000000000000e+00,3.589118993939259539e-03,8.000657408632126655e-02,1.130915055453556306e-01
7.000000000000000000e+00,4.183753723923433476e-03,9.336736217799659898e-02,1.319248950648699292e-01
8.000000000000000000e+00,4.777380506265658210e-03,1.067356254050317865e-01,1.507539562762758578e-01
9.000000000000000000e+00,5.370001891399385843e-03,1.201113428950751211e-01,1.695786941612453802e-01
1.000000000000000000e+01,5.961620422227665965e-03,1.334944938261631298e-01,1.883991137248699488e-01
1.100000000000000000e+01,6.552238634132064726e-03,1.468850574268095177e-01,2.072152199953620766e-01
1.200000000000000000e+01,7.141859055010666563e-03,1.602830129755631050e-01,2.260270180242400784e-01
1.300000000000000000e+01,7.730484205283552450e-03,1.736883398016095259e-01,2.448345128852196240e-01
1.400000000000000000e+01,8.318116597926413641e-03,1.871010172838661889e-01,2.636377096750521787e-01
1.500000000000000000e+01,8.904758738488329980e-03,2.005210248514764093e-01,2.824366135126297195e-01
1.600000000000000000e+01,9.490413125112090453e-03,2.139483419834679045e-01,3.012312295389563133e-01
1.700000000000000000e+01,1.007508224857067702e-02,2.273829482084666898e-01,3.200215629173754905e-01
1.800000000000000000e+01,1.065876859225964833e-02,2.408248231051731414e-01,3.388076188324617988e-01
1.900000000000000000e+01,1.124147463225331003e-02,2.542739463016258639e-01,3.575894024907597668e-01
2.000000000000000000e+01,1.182320283730349531e-02,2.677302974756102794e-01,3.763669191199454644e-01
2.100000000000000000e+01,1.240395566887081934e-02,2.811938563541487301e-01,3.951401739690112436e-01
2.200000000000000000e+01,1.298373558113655526e-02,2.946646027138189461e-01,4.139091723077115148e-01
2.300000000000000000e+01,1.356254502104540377e-02,3.081425163802042344e-01,4.326739194269180189e-01
2.400000000000000000e+01,1.414038642830066014e-02,3.216275772282775613e-01,4.514344206377103319e-01
2.500000000000000000e+01,1.471726223541460973e-02,3.351197651817592882e-01,4.701906812719585105e-01
2.600000000000000000e+01,1.529317486769365964e-02,3.486190602136074457e-01,4.889427066813851752e-01
2.700000000000000000e+01,1.586812674330949358e-02,3.621254423453892923e-01,5.076905022380202581e-01
2.800000000000000000e+01,1.644212027326344069e-02,3.756388916476250950e-01,5.264340733335188816e-01
2.900000000000000000e+01,1.701515786145241238e-02,3.891593882394335235e-01,5.451734253791471474e-01
3.000000000000000000e+01,1.758724190467790549e-02,4.026869122883123819e-01,5.639085638059384564e-01
3.100000000000000000e+01,1.815837479265644192e-02,4.162214440104755608e-01,5.826394940637840136e-01
3.200000000000000000e+01,1.872855890805272608e-02,4.297629636702094413e-01,6.013662216221575818e-01
3.300000000000000000e+01,1.929779662649628788e-02,4.433114515803384115e-01,6.200887519689359806e-01
3.400000000000000000e+01,1.986609031660171998e-02,4.568668881017365901e-01,6.388070906108964664e-01
3.500000000000000000e+01,2.043344233999391801e-02,4.704292536432820859e-01,6.575212430734893587e-01
3.600000000000000000e+01,2.099985505133533659e-02,4.839985286617574656e-01,6.762312149005111905e-01
3.700000000000000000e+01,2.156533079832286676e-02,4.975746936620220606e-01,6.949370116537210151e-01
3.800000000000000000e+01,2.212987192174018999e-02,5.111577291964692904e-01,7.136386389131104124e-01
3.900000000000000000e+01,2.269348075545913127e-02,5.247476158652243372e-01,7.323361022765197959e-01
4.000000000000000000e+01,2.325615962645576421e-02,5.383443343160297934e-01,7.510294073592262976e-01
4.100000000000000000e+01,2.381791085485615231e-02,5.519478652439936406e-01,7.697185597942279855e-01
4.200000000000000000e+01,2.437873675393725792e-02,5.655581893917098757e-01,7.884035652315759535e-01
4.300000000000000000e+01,2.493863963014839730e-02,5.791752875488153096e-01,8.070844293387580137e-01
4.400000000000000000e+01,2.549762178314416566e-02,5.927991405523130863e-01,8.257611577999739438e-01
4.500000000000000000e+01,2.605568550578943668e-02,6.064297292861048350e-01,8.444337563163770710e-01
