frame, lambda, x, y
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000000e+00,5.634903513491315791e-04,1.236626981070838849e-02,2.084970601973168414e-02
2.000000000000000000e+00,1.126079316741947440e-03,2.474096824295406519e-02,4.169325031604387277e-02
3.000000000000000000e+00,1.687768870367574751e-03,3.712407310290923024e-02,6.253063620459897720e-02
4.000000000000000000e+00,2.248561061109642135e-03,4.951556419328417835e-02,8.336187013831874992e-02
5.000000000000000000e+00,2.808457934989469842e-03,6.191542133203984527e-02,1.041869586169354989e-01
6.000000000000000000e+00,3.367461532959362819e-03,7.432362437358711049e-02,1.250059081602756805e-01
7.000000000000000000e+00,3.925573890909627231e-03,8.674015320897202064e-02,1.458187253077767309e-01
8.000000000000000000e+00,4.482797039679665974e-03,9.916498776574317331e-02,1.666254166185439090e-01
9.000000000000000000e+00,5.039133005070002037e-03,1.115981080079600923e-01,1.874259886711939771e-01
1.000000000000000000e+01,5.594583807850606050e-03,1.240394939362603616e-01,2.082204480634857191e-01
1.100000000000000000e+01,6.149151463772094782e-03,1.364891255877919152e-01,2.290088014123909943e-01
1.200000000000000000e+01,6.702837983578601062e-03,1.489469830362122327e-01,2.497910553538673639e-01
1.300000000000000000e+01,7.255645373014090772e-03,1.614130463917436142e-01,2.705672165425738740e-01
1.400000000000000000e+01,7.807575632837575504e-03,1.738872958010649061e-01,2.913372916518994771e-01
1.500000000000000000e+01,8.358630758829791244e-03,1.863697114473630290e-01,3.121012873737498694e-01
1.600000000000000000e+01,8.908812741807273922e-03,1.988602735503331720e-01,3.328592104183201172e-01
1.700000000000000000e+01,9.458123567630141379e-03,2.113589623661511763e-01,3.536110675139809700e-01
1.800000000000000000e+01,1.000656521721326499e-02,2.238657581874770042e-01,3.743568654071651736e-01
1.900000000000000000e+01,1.055413966653861307e-02,2.363806413434039466e-01,3.950966108621827289e-01
2.000000000000000000e+01,1.110084888666417954e-02,2.489035921995160217e-01,4.158303106610361510e-01
2.100000000000000000e+01,1.164669484373401405e-02,2.614345911577987125e-01,4.365579716033209934e-01
2.200000000000000000e+01,1.219167949899195059e-02,2.739736186566871234e-01,4.572796005060553171e-01
2.300000000000000000e+01,1.273580480878773284e-02,2.865206551710528515e-01,4.779952042035233717e-01
2.400000000000000000e+01,1.327907272459056751e-02,2.990756812121380670e-01,4.987047895471192760e-01
